timestamp,open,high,low,close,volume
1757344860000,4373.96,4379.99,4373.04,4375.83,654.1752
1757344920000,4375.82,4384.06,4375.82,4381.13,1018.921
1757344980000,4381.14,4383.5,4380.68,4383.07,494.8377
1757345040000,4383.07,4384.0,4378.49,4379.1,512.6485
1757345100000,4379.1,4381.74,4375.4,4377.03,666.1877
1757345160000,4377.03,4377.5,4374.28,4377.25,339.5134
1757345220000,4377.24,4378.24,4376.01,4378.23,394.664
1757345280000,4378.24,4381.0,4378.24,4380.99,310.2335
1757345340000,4380.99,4383.0,4380.99,4381.5,285.9314
1757345400000,4381.5,4382.11,4379.66,4380.65,245.499
1757345460000,4380.65,4381.7,4378.0,4380.55,646.337
1757345520000,4380.54,4381.67,4378.24,4381.66,648.5483
1757345580000,4381.66,4382.0,4378.0,4378.96,371.0883
1757345640000,4378.96,4379.97,4377.71,4378.06,255.3716
1757345700000,4378.06,4382.36,4376.25,4376.26,412.8689
1757345760000,4376.25,4376.47,4368.44,4368.98,578.0032
1757345820000,4368.97,4368.98,4363.03,4363.2,804.6125
1757345880000,4363.2,4365.52,4362.36,4365.52,1269.3695
1757345940000,4365.52,4368.86,4365.52,4368.66,254.832
1757346000000,4368.67,4370.47,4365.37,4366.96,632.7624
1757346060000,4366.97,4367.26,4365.98,4366.34,160.7817
1757346120000,4366.34,4366.77,4364.05,4364.05,304.3587
1757346180000,4364.06,4366.0,4364.05,4365.99,111.8982
1757346240000,4365.99,4372.34,4365.99,4372.34,518.3966
1757346300000,4372.34,4373.43,4367.0,4367.0,261.3824
1757346360000,4367.01,4367.88,4363.98,4363.98,256.2054
1757346420000,4363.98,4365.0,4362.36,4362.37,234.6759
1757346480000,4362.36,4366.05,4362.29,4366.04,262.1985
1757346540000,4366.05,4366.82,4364.93,4366.2,234.8271
1757346600000,4366.21,4366.21,4363.55,4365.99,100.6196
1757346660000,4366.0,4366.46,4361.64,4364.42,175.3081
1757346720000,4364.43,4364.43,4362.6,4362.69,187.5129
1757346780000,4362.69,4365.95,4362.68,4365.94,274.0087
1757346840000,4365.94,4371.5,4365.94,4370.53,290.5064
1757346900000,4370.53,4370.53,4366.72,4366.72,118.1412
1757346960000,4366.71,4368.77,4366.54,4367.92,128.7704
1757347020000,4367.93,4370.98,4367.93,4369.07,160.1254
1757347080000,4369.06,4371.69,4369.06,4370.44,165.1629
1757347140000,4370.43,4371.64,4370.43,4371.64,184.1749
1757347200000,4371.64,4373.43,4369.25,4370.22,485.4672
1757347260000,4370.22,4371.38,4367.32,4367.32,112.4037
1757347320000,4367.32,4370.28,4367.32,4368.31,208.6722
1757347380000,4368.31,4368.35,4365.75,4366.77,157.8415
1757347440000,4366.77,4369.99,4366.75,4366.75,139.6548
1757347500000,4366.76,4367.38,4362.26,4363.11,238.7053
1757347560000,4363.11,4363.7,4362.37,4362.38,141.3371
1757347620000,4362.38,4367.32,4362.38,4366.14,180.9974
1757347680000,4366.15,4367.97,4362.84,4362.84,128.914
1757347740000,4362.85,4362.85,4361.74,4362.29,258.7594
1757347800000,4362.29,4364.79,4359.64,4359.98,205.565
1757347860000,4359.99,4362.0,4359.88,4361.56,203.3342
1757347920000,4361.56,4362.41,4360.09,4361.44,145.9388
1757347980000,4361.44,4363.78,4360.01,4360.01,260.0998
1757348040000,4360.0,4360.6,4358.4,4358.41,182.0584
1757348100000,4358.4,4358.4,4353.99,4355.28,321.3857
1757348160000,4355.28,4356.45,4351.0,4352.2,260.0512
1757348220000,4352.21,4354.65,4349.56,4352.95,309.8183
1757348280000,4352.95,4356.63,4352.95,4354.02,232.8191
1757348340000,4354.02,4355.62,4354.0,4354.72,83.2524
1757348400000,4354.73,4355.8,4351.85,4352.55,132.8639
1757348460000,4352.56,4357.23,4352.55,4357.11,173.2561
1757348520000,4357.12,4359.01,4356.53,4356.54,178.8107
1757348580000,4356.53,4358.24,4355.41,4358.24,103.764
1757348640000,4358.24,4359.5,4357.06,4359.28,140.8571
1757348700000,4359.27,4366.33,4359.27,4365.24,295.085
1757348760000,4365.24,4368.6,4364.92,4366.34,215.3992
1757348820000,4366.33,4367.47,4363.76,4363.77,215.6549
1757348880000,4363.76,4366.09,4363.76,4365.0,104.9583
1757348940000,4365.0,4366.43,4364.51,4365.59,130.2472
1757349000000,4365.59,4366.13,4363.01,4364.15,99.8589
1757349060000,4364.16,4364.16,4360.09,4360.26,176.6452
1757349120000,4360.27,4360.65,4357.39,4357.39,105.5948
1757349180000,4357.39,4358.0,4356.28,4356.88,63.6057
1757349240000,4356.88,4358.67,4356.57,4356.57,99.0344
1757349300000,4356.58,4359.04,4356.04,4356.69,125.8342
1757349360000,4356.69,4357.0,4351.68,4351.68,231.3408
1757349420000,4351.68,4351.69,4345.6,4346.29,527.5704
1757349480000,4346.28,4348.65,4344.29,4348.42,247.8813
1757349540000,4348.41,4348.41,4344.33,4344.81,171.4527
1757349600000,4344.81,4347.82,4344.4,4345.64,242.2102
1757349660000,4345.64,4345.64,4337.88,4337.89,478.9571
1757349720000,4337.88,4345.36,4336.07,4345.35,618.781
1757349780000,4345.35,4348.3,4344.1,4348.29,156.2699
1757349840000,4348.3,4348.3,4347.37,4347.42,86.6475
1757349900000,4347.43,4347.43,4341.56,4341.57,236.5508
1757349960000,4341.57,4341.57,4339.37,4339.57,82.9327
1757350020000,4339.57,4339.57,4335.24,4335.29,977.3157
1757350080000,4335.28,4337.43,4335.28,4337.34,99.1143
1757350140000,4337.35,4339.05,4336.25,4339.04,135.3293
1757350200000,4339.05,4339.05,4337.45,4338.17,97.5319
1757350260000,4338.16,4339.0,4334.31,4334.55,510.5914
1757350320000,4334.54,4335.57,4334.54,4335.16,94.8574
1757350380000,4335.16,4339.73,4335.16,4339.33,352.3162
1757350440000,4339.32,4340.43,4339.32,4340.43,64.1369
1757350500000,4340.42,4342.8,4340.42,4341.81,168.0531
1757350560000,4341.8,4342.56,4341.23,4342.54,71.6794
1757350620000,4342.55,4343.82,4342.54,4343.45,57.5071
1757350680000,4343.46,4343.46,4337.32,4339.08,219.9161
1757350740000,4339.08,4339.09,4337.38,4339.02,105.2637
1757350800000,4339.01,4339.66,4337.26,4339.66,173.2797
1757350860000,4339.66,4340.85,4335.1,4335.69,1231.4707
1757350920000,4335.69,4335.7,4331.34,4333.87,790.2976
1757350980000,4333.88,4336.89,4331.4,4332.33,774.9405
1757351040000,4332.33,4332.91,4329.4,4329.92,1242.1024
1757351100000,4329.93,4331.28,4329.8,4330.13,276.0502
1757351160000,4330.13,4331.44,4329.8,4330.21,186.3027
1757351220000,4330.2,4330.76,4329.0,4330.71,668.4457
1757351280000,4330.7,4331.85,4329.78,4330.85,150.2732
1757351340000,4330.85,4331.7,4328.56,4329.56,370.633
1757351400000,4329.56,4332.15,4328.29,4331.63,242.7961
1757351460000,4331.64,4335.55,4331.45,4331.46,251.1767
1757351520000,4331.45,4333.77,4331.45,4332.44,75.1133
1757351580000,4332.44,4333.04,4331.5,4331.5,141.5175
1757351640000,4331.5,4331.51,4330.51,4330.66,73.4819
1757351700000,4330.67,4335.59,4330.67,4335.25,274.4588
1757351760000,4335.24,4337.24,4335.0,4335.33,244.3914
1757351820000,4335.33,4335.34,4332.05,4335.0,157.6728
1757351880000,4334.99,4337.24,4334.99,4337.09,190.8815
1757351940000,4337.09,4337.29,4336.64,4337.29,79.0614
1757352000000,4337.28,4338.39,4337.13,4337.14,189.39
1757352060000,4337.14,4337.14,4334.42,4335.62,93.3868
1757352120000,4335.62,4340.6,4335.61,4340.59,165.1906
1757352180000,4340.59,4343.29,4339.47,4340.81,288.6235
1757352240000,4340.81,4342.85,4340.6,4342.45,415.9572
1757352300000,4342.46,4342.92,4338.68,4340.29,127.7281
1757352360000,4340.29,4341.54,4338.73,4340.42,235.5904
1757352420000,4340.43,4341.55,4340.0,4341.55,199.8321
1757352480000,4341.54,4342.44,4340.93,4341.23,43.9754
1757352540000,4341.23,4341.6,4340.93,4340.93,72.9624
1757352600000,4340.93,4341.54,4336.95,4336.96,106.5593
1757352660000,4336.96,4336.96,4333.13,4334.9,218.2423
1757352720000,4334.9,4335.85,4332.32,4334.82,101.8385
1757352780000,4334.83,4337.36,4333.36,4334.21,168.3471
1757352840000,4334.21,4334.75,4332.32,4333.0,187.4159
1757352900000,4333.0,4338.5,4332.65,4338.5,568.4357
1757352960000,4338.48,4338.48,4336.67,4336.68,142.8379
1757353020000,4336.68,4337.62,4334.75,4335.18,160.5446
1757353080000,4335.18,4335.6,4334.15,4334.15,51.9082
1757353140000,4334.15,4334.66,4332.51,4333.82,123.1943
1757353200000,4333.81,4335.21,4333.38,4334.23,81.117
1757353260000,4334.22,4334.22,4329.0,4329.01,176.919
1757353320000,4329.02,4330.0,4328.41,4329.55,78.3269
1757353380000,4329.55,4330.0,4328.48,4328.48,99.27
1757353440000,4328.48,4328.48,4324.8,4325.01,281.9765
1757353500000,4325.02,4325.22,4322.59,4324.4,343.5873
1757353560000,4324.39,4324.73,4322.38,4324.72,81.5707
1757353620000,4324.73,4327.35,4324.72,4326.39,134.039
1757353680000,4326.39,4329.0,4326.38,4326.86,125.1012
1757353740000,4326.86,4326.91,4325.0,4325.01,104.5428
1757353800000,4325.01,4325.01,4323.13,4323.42,65.0586
1757353860000,4323.43,4323.43,4319.18,4321.07,599.2232
1757353920000,4321.06,4321.35,4316.37,4316.38,321.2195
1757353980000,4316.37,4316.67,4302.0,4305.92,3178.5386
1757354040000,4305.92,4314.06,4300.16,4313.59,1321.696
1757354100000,4313.59,4320.9,4311.24,4316.99,731.9126
1757354160000,4316.99,4318.32,4313.57,4313.58,121.0622
1757354220000,4313.58,4315.72,4310.48,4312.23,350.3648
1757354280000,4312.25,4312.93,4310.42,4310.75,216.279
1757354340000,4310.78,4312.57,4310.78,4311.48,106.1205
1757354400000,4311.47,4315.84,4310.0,4314.99,300.9211
1757354460000,4314.99,4319.35,4314.99,4319.35,322.2189
1757354520000,4319.35,4322.16,4318.29,4321.36,367.5108
1757354580000,4321.35,4322.29,4320.15,4320.31,126.3349
1757354640000,4320.32,4321.63,4319.57,4319.57,206.473
1757354700000,4319.58,4323.73,4319.29,4322.73,260.4631
1757354760000,4322.73,4323.46,4321.56,4321.57,76.6786
1757354820000,4321.56,4322.16,4319.01,4319.03,103.6773
1757354880000,4319.03,4319.03,4315.0,4315.79,99.958
1757354940000,4315.79,4318.94,4313.4,4313.4,230.0518
1757355000000,4313.4,4320.0,4312.62,4319.28,164.958
1757355060000,4319.28,4319.28,4315.59,4316.51,164.0744
1757355120000,4316.5,4317.75,4315.96,4316.87,72.6208
1757355180000,4316.86,4319.56,4316.0,4319.56,79.6426
1757355240000,4319.55,4319.55,4318.02,4318.03,70.3996
1757355300000,4318.03,4324.03,4318.03,4323.9,258.9042
1757355360000,4323.9,4325.56,4323.89,4325.11,125.7028
1757355420000,4325.1,4326.6,4324.01,4326.6,140.0076
1757355480000,4326.6,4327.6,4326.59,4327.18,119.0398
1757355540000,4327.18,4327.65,4325.68,4325.69,107.2625
1757355600000,4325.69,4326.56,4325.04,4326.29,61.5555
1757355660000,4326.28,4327.65,4326.28,4326.8,82.8588
1757355720000,4326.79,4327.5,4323.95,4325.86,84.8035
1757355780000,4325.86,4326.63,4324.01,4324.01,62.6482
1757355840000,4324.01,4326.84,4324.01,4325.5,43.4166
1757355900000,4325.51,4327.58,4324.52,4325.52,133.5246
1757355960000,4325.52,4327.63,4325.3,4327.41,51.532
1757356020000,4327.4,4328.25,4327.4,4327.87,110.7928
1757356080000,4327.87,4328.73,4327.86,4328.72,85.864
1757356140000,4328.72,4329.17,4328.72,4329.16,43.1655
1757356200000,4329.16,4330.31,4329.06,4330.31,67.8478
1757356260000,4330.3,4330.31,4328.5,4328.5,81.9818
1757356320000,4328.51,4328.51,4327.14,4327.37,52.3599
1757356380000,4327.37,4328.5,4325.73,4327.5,104.0174
1757356440000,4327.49,4329.82,4327.49,4329.7,89.4051
1757356500000,4329.71,4330.25,4328.5,4328.85,163.2872
1757356560000,4328.85,4329.7,4326.97,4327.33,63.4296
1757356620000,4327.34,4329.12,4327.09,4327.1,68.1238
1757356680000,4327.11,4327.68,4325.66,4325.66,61.3244
1757356740000,4325.67,4325.86,4320.28,4322.27,145.2674
1757356800000,4322.27,4324.31,4320.83,4320.92,159.7695
1757356860000,4320.92,4324.3,4320.91,4324.1,156.2398
1757356920000,4324.1,4326.49,4323.14,4326.48,105.3906
1757356980000,4326.48,4328.71,4325.23,4327.86,74.6996
1757357040000,4327.85,4328.65,4327.62,4327.63,51.4848
1757357100000,4327.62,4329.47,4327.18,4329.17,53.2616
1757357160000,4329.17,4333.3,4328.95,4333.3,220.1946
1757357220000,4333.3,4334.4,4332.23,4334.4,150.366
1757357280000,4334.39,4334.96,4334.0,4334.75,89.7436
1757357340000,4334.76,4336.16,4333.48,4334.03,159.6709
1757357400000,4334.04,4335.98,4331.44,4331.84,141.7509
1757357460000,4331.84,4333.1,4331.83,4331.96,97.5599
1757357520000,4331.97,4333.88,4331.35,4331.36,120.7113
1757357580000,4331.35,4331.36,4328.1,4328.7,264.0248
1757357640000,4328.7,4330.46,4328.7,4330.25,168.711
1757357700000,4330.24,4331.52,4330.06,4331.25,108.3532
1757357760000,4331.25,4332.0,4331.24,4331.37,60.4761
1757357820000,4331.37,4333.3,4331.37,4333.29,322.1333
1757357880000,4333.29,4333.77,4331.27,4331.28,153.7437
1757357940000,4331.27,4331.29,4329.71,4329.71,56.2646
1757358000000,4329.72,4329.72,4326.21,4326.53,150.5749
1757358060000,4326.54,4328.5,4326.34,4326.36,125.231
1757358120000,4326.36,4326.99,4325.0,4326.07,101.7265
1757358180000,4326.08,4326.95,4325.0,4326.95,81.4854
1757358240000,4326.94,4327.25,4325.33,4326.77,81.2251
1757358300000,4326.77,4326.78,4325.22,4325.66,45.1018
1757358360000,4325.66,4325.66,4322.34,4324.57,273.8715
1757358420000,4324.58,4324.58,4322.28,4323.13,83.7188
1757358480000,4323.13,4323.13,4318.0,4318.45,135.3363
1757358540000,4318.45,4319.54,4315.36,4315.36,241.0415
1757358600000,4315.35,4319.09,4313.56,4318.0,728.281
